absolute_error,squared_error,sqrt(squared_error),Accuracy,Store,Department
0.016844,0.000472,0.021724,96.000016,7,4
0.048667,0.005203,0.07213,94.907153,7,5
0.045688,0.003821,0.061815,90.71623,7,6
0.050679,0.005212,0.072193,94.584298,7,7
0.012247,0.000226,0.015048,91.229809,7,8
0.041133,0.003176,0.056354,98.389556,7,9
0.019372,0.000619,0.024871,94.271359,7,10
0.020366,0.000757,0.027519,97.162151,7,11
0.021409,0.000745,0.027288,97.060387,7,12
0.014888,0.00039,0.01975,96.679852,7,13
0.031772,0.001593,0.039909,96.008607,7,14
0.033202,0.002152,0.046384,99.146385,7,16
0.01868,0.000555,0.023561,96.420874,7,17
0.044775,0.003498,0.059141,98.750757,7,18
0.018066,0.001123,0.033506,96.413996,7,19
0.020065,0.00068,0.026078,91.911605,7,20
0.016401,0.000499,0.022335,92.129603,7,21
0.028753,0.00123,0.035071,95.246095,7,22
0.030538,0.001392,0.037306,96.105644,7,23
0.019144,0.000643,0.025364,96.34686,7,24
0.022749,0.000727,0.026965,94.506193,7,25
0.014956,0.000361,0.018995,91.509455,7,26
0.005703,0.00005,0.007077,94.929205,7,27
0.004213,0.000035,0.005938,87.247962,7,28
0.014704,0.000394,0.019849,85.274493,7,29
0.008585,0.000114,0.010679,94.57421,7,30
0.020688,0.000825,0.028718,95.010561,7,31
0.034821,0.002198,0.046879,93.512092,7,32
0.017267,0.000553,0.023506,96.925066,7,33
0.025766,0.001058,0.032533,93.75126,7,34
0.009654,0.000155,0.012461,92.476323,7,35
0.019626,0.000554,0.023547,97.739274,7,36
0.026114,0.001296,0.036001,89.500441,7,38
0.017494,0.000543,0.023297,98.350826,7,40
0.029129,0.002001,0.044731,91.824606,7,41
0.018299,0.000561,0.023696,92.153947,7,42
0.017832,0.000676,0.026009,93.795842,7,44
0.00171,0.000006,0.002457,85.750563,7,45
0.022105,0.000899,0.029991,96.733163,7,46
0.002466,0.000009,0.002931,75.220248,7,47
0.034044,0.00195,0.044155,90.74084,7,48
0.001536,0.000006,0.002439,66.693816,7,49
0.015962,0.000515,0.022703,91.141489,7,52
0.002318,0.000009,0.003026,93.313369,7,54
0.034083,0.00178,0.042185,97.254715,7,55
0.058499,0.011127,0.105485,98.096009,7,56
0.029561,0.001402,0.037441,75.112919,7,58
0.002344,0.000009,0.002996,96.391196,7,59
0.003073,0.000024,0.004862,88.441559,7,60
0.030857,0.002116,0.046005,91.475791,7,67
0.020754,0.000681,0.026091,88.686513,7,71
0.046954,0.003758,0.0613,93.158821,7,72
0.024356,0.000919,0.030314,93.725093,7,74
0.016874,0.000514,0.022681,93.028803,7,79
0.006463,0.000077,0.008753,92.784575,7,80
0.011192,0.000214,0.014624,97.903808,7,81
0.026116,0.002896,0.053817,92.655138,7,82
0.007847,0.000122,0.011051,94.101861,7,83
0.01705,0.000699,0.026436,92.602026,7,85
0.025631,0.001254,0.035415,96.590048,7,87
0.025357,0.001171,0.03422,97.929729,7,90
0.018167,0.000602,0.02454,99.104407,7,91
0.029303,0.001756,0.041909,93.829538,7,92
0.009778,0.000148,0.012172,97.800988,7,93
0.020589,0.000784,0.028006,95.091971,7,94
0.031349,0.00213,0.046147,94.823939,7,95
0.015465,0.000625,0.024997,95.35595,7,96
0.025716,0.00132,0.036337,96.05216,7,97
0.007255,0.000088,0.009406,87.501022,7,98
0.127814,0.23969,0.489581,99.663016,8,1
0.024412,0.002688,0.051846,99.996734,8,2
0.064848,0.023788,0.154232,99.94529,8,3
0.041034,0.02693,0.164103,99.950308,8,4
0.056548,0.006592,0.081188,94.775257,8,5
0.105802,0.040099,0.200248,99.954767,8,6
0.050769,0.009281,0.096339,99.987134,8,7
0.059254,0.082845,0.287829,99.851447,8,8
0.135133,0.169839,0.412115,99.858061,8,9
0.061826,0.05436,0.233151,99.896535,8,10
0.029883,0.001987,0.04457,92.292841,8,11
0.04407,0.009116,0.095476,99.987348,8,12
0.017504,0.000845,0.029063,99.998904,8,13
0.085183,0.050926,0.225667,99.927569,8,14
0.070666,0.041344,0.203333,99.807485,8,16
0.077974,0.100315,0.316725,99.767434,8,17
0.069811,0.00924,0.096127,99.97273,8,18
0.021519,0.002915,0.053992,99.994552,8,19
0.098143,0.096044,0.309909,99.869236,8,20
0.108772,0.248658,0.498656,99.596674,8,21
0.044798,0.009666,0.098315,99.977442,8,22
0.090327,0.070119,0.2648,99.898211,8,23
0.056491,0.030564,0.174825,99.87387,8,24
0.069065,0.04307,0.207533,99.933553,8,25
0.107572,0.204155,0.451835,99.4815,8,26
0.048186,0.04708,0.216979,99.865108,8,27
0.033691,0.013433,0.115903,99.982586,8,28
0.061539,0.03909,0.197711,99.908387,8,29
0.0682,0.05913,0.243167,99.850029,8,30
0.019619,0.000745,0.027288,99.996014,8,31
0.108901,0.200664,0.447956,99.671409,8,32
0.07596,0.040749,0.201863,99.892713,8,33
0.066953,0.059226,0.243365,99.909784,8,34
0.079768,0.092178,0.303608,99.865812,8,35
0.056909,0.033906,0.184137,99.93422,8,36
0.02032,0.002422,0.049211,99.993666,8,37
0.030818,0.0014,0.037419,89.124764,8,38
0.051974,0.054098,0.232589,99.907739,8,40
0.032494,0.010117,0.100583,99.943054,8,41
0.069919,0.105416,0.324679,99.729856,8,42
0.029848,0.005553,0.074515,99.985786,8,44
0.481511,0.536443,0.732423,99.658053,8,45
0.051418,0.038656,0.196612,99.923343,8,46
0.757841,2.281799,1.510562,98.11388,8,47
0.080992,0.047456,0.217844,99.954408,8,49
0.087971,0.161548,0.40193,99.776053,8,52
0.005124,0.000058,0.007596,85.129203,8,54
0.038446,0.006689,0.081788,99.983543,8,55
0.037587,0.002295,0.047911,99.98653,8,56
0.071475,0.025742,0.160443,99.912311,8,58
0.069723,0.043295,0.208075,99.938656,8,59
0.005931,0.000104,0.010197,99.99968,8,60
0.035402,0.005012,0.070792,99.97578,8,67
0.065483,0.028575,0.169042,99.928302,8,71
0.066726,0.021965,0.148204,99.943596,8,72
0.029839,0.002154,0.046415,99.990788,8,74
0.059992,0.043002,0.207369,99.913089,8,79
0.077616,0.082799,0.287748,99.886518,8,80
0.06443,0.074563,0.273062,99.922391,8,81
0.213191,0.998367,0.999183,99.114486,8,82
0.012415,0.000242,0.015541,95.021448,8,83
0.124762,0.142066,0.376917,99.854645,8,85
0.071565,0.091491,0.302475,99.627252,8,87
0.108931,0.329303,0.573849,99.465148,8,90
0.013761,0.000831,0.028835,99.998582,8,91
0.042449,0.013383,0.115686,99.986084,8,92
0.027565,0.004273,0.065372,99.984955,8,93
0.024706,0.002089,0.045702,99.993092,8,94
